Temperature,Humidity,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density
23.0,79.9,9.8,23.0,10.2,1.73,8.9,264
30.1,49.0,14.5,20.2,7.6,0.98,11.0,465
23.4,68.9,18.2,18.4,6.7,0.93,10.7,265
21.3,58.5,20.9,22.7,3.6,1.01,11.6,567
32.0,58.7,8.9,19.0,3.0,1.01,11.1,437
26.8,42.1,11.7,20.1,4.5,0.85,13.1,276
23.8,61.3,4.7,25.4,7.9,1.06,12.5,238
33.2,62.2,15.7,19.0,1.1,1.14,11.3,546
26.4,45.7,11.3,23.4,4.8,0.97,13.8,426
34.4,100.9,14.1,47.6,21.0,2.01,5.6,771
23.6,46.8,8.1,12.2,3.2,1.06,10.2,543
30.8,69.0,21.3,17.8,8.0,1.37,5.6,635
21.4,76.9,6.7,23.4,2.8,1.09,14.7,338
43.6,88.4,37.1,37.1,24.5,2.81,7.4,626
43.0,65.1,47.5,25.1,23.8,1.7,4.6,569
30.1,95.4,10.3,21.4,13.3,1.32,5.1,333
34.7,72.0,33.5,33.9,13.2,2.3,4.4,475
21.9,45.1,15.3,26.3,1.4,0.92,11.4,262
20.4,92.4,19.5,36.5,22.6,2.62,9.0,494
50.4,102.2,74.0,36.4,37.6,2.3,3.3,671
25.8,76.0,13.3,18.8,4.0,0.89,13.3,321
46.0,90.9,30.8,26.2,15.0,1.78,5.6,736
26.0,64.6,9.2,14.1,5.2,0.72,10.1,246
29.4,61.4,50.2,37.0,11.4,1.89,4.7,497
41.7,84.9,106.8,27.3,29.6,2.39,9.3,923
23.6,79.9,12.4,16.3,5.0,0.99,18.6,528
33.6,55.2,21.2,21.9,5.1,1.69,5.3,454
25.5,70.1,5.6,25.8,7.8,0.96,16.6,502
27.3,47.5,17.4,16.4,8.2,0.86,15.7,543
44.6,94.9,98.3,40.6,23.9,2.44,4.3,670
19.8,60.6,21.7,22.9,3.9,0.99,10.4,382
30.8,92.2,67.5,25.3,23.5,2.41,7.0,573
26.4,78.1,9.9,27.0,6.6,1.06,14.6,552
28.6,54.9,14.9,24.1,5.0,0.96,10.7,521
19.4,70.6,14.2,21.1,0.4,0.99,10.2,262
37.3,85.0,23.9,31.2,16.2,2.22,4.9,592
23.5,67.0,6.8,19.6,4.0,1.07,10.8,320
42.0,77.8,43.7,52.3,22.3,2.42,5.6,846
32.2,78.1,6.2,26.7,13.8,1.64,5.1,540
28.5,63.1,11.9,31.0,11.7,1.28,7.6,663
18.7,53.5,35.6,20.3,4.3,0.94,10.8,530
24.6,84.2,19.2,22.5,9.0,1.48,7.3,623
29.7,69.0,26.3,28.9,9.8,1.58,5.4,674
42.3,96.6,16.1,37.7,3.2,2.44,3.4,421
29.7,70.4,8.6,17.4,3.2,1.42,8.5,586
23.0,41.1,28.1,18.7,3.4,0.94,10.3,379
29.9,78.0,35.4,37.4,10.6,1.5,6.4,533
25.6,60.3,34.0,30.4,3.7,1.37,7.8,315
27.7,78.7,20.5,28.2,9.8,1.53,5.5,449
34.4,86.3,50.6,34.5,42.3,2.28,3.2,685
27.3,72.6,8.0,13.3,5.3,1.19,10.0,327
37.8,70.3,29.9,35.9,22.1,2.16,4.1,529
26.3,83.1,48.0,33.0,8.2,1.56,6.0,579
31.6,82.6,38.6,20.8,7.6,1.83,10.4,477
23.5,44.5,8.1,23.2,1.6,1.02,10.3,221
19.1,50.6,18.4,33.6,5.9,1.98,6.6,648
18.1,61.3,12.3,12.9,7.3,1.04,10.1,218
28.6,59.7,52.2,32.7,7.1,2.04,4.0,769
23.2,72.9,39.3,20.6,7.2,1.36,5.4,299
25.9,70.2,27.6,26.2,8.6,2.03,6.4,442
22.6,62.1,21.3,17.6,4.8,0.93,11.5,324
31.7,78.9,33.4,37.2,12.4,1.3,6.3,500
25.1,67.2,21.1,19.9,7.6,0.83,10.0,471
23.5,43.0,19.0,23.1,1.7,1.14,12.7,297
21.9,58.3,5.6,20.6,7.3,0.9,11.1,493
31.3,46.6,7.5,21.8,4.4,0.87,10.8,233
47.3,64.8,21.8,41.0,17.3,1.95,2.6,779
20.5,56.2,10.4,12.3,3.1,0.98,14.5,459
23.5,62.5,7.3,25.2,3.4,1.16,11.7,501
25.0,64.5,15.4,17.8,8.3,0.87,11.3,329
27.4,78.0,21.9,33.8,16.5,1.57,5.6,468
28.7,63.6,10.2,20.8,3.2,0.92,11.6,487
28.0,52.5,15.8,24.7,2.4,1.0,13.2,554
23.6,76.6,16.3,28.2,11.9,1.55,6.2,514
24.6,58.0,19.0,25.7,3.4,1.57,12.7,617
22.3,74.3,10.9,20.7,7.6,0.92,13.0,210
27.2,70.5,41.9,18.9,13.9,1.68,8.2,579
35.8,71.5,34.1,28.6,13.5,1.54,7.8,592
28.1,93.7,50.7,46.0,19.4,1.66,4.0,487
25.7,72.9,1.0,23.5,3.3,1.04,11.0,415
26.3,80.1,9.7,20.2,6.0,1.03,12.5,269
25.8,54.7,15.8,14.2,5.0,1.03,10.2,535
38.9,77.5,25.6,43.7,15.4,2.32,4.2,610
27.2,60.5,4.7,22.7,3.7,0.95,16.1,241
36.6,69.9,59.1,46.1,6.6,1.84,3.6,649
38.5,57.4,83.0,34.9,1.6,2.35,3.7,505
28.1,73.2,41.5,18.8,12.8,1.23,5.1,423
33.6,88.9,40.6,31.1,13.5,2.29,7.3,405
36.4,115.7,121.6,33.0,17.2,2.83,3.5,560
42.0,77.9,31.0,37.6,17.0,2.38,12.0,484
20.2,54.9,16.6,12.1,7.8,1.14,10.2,534
24.6,96.2,142.1,32.2,17.1,1.95,3.7,677
24.3,76.5,34.1,23.4,3.1,0.98,11.0,387
31.6,95.2,180.0,38.8,28.7,2.0,3.6,571
28.3,72.7,8.4,13.2,5.8,0.94,10.5,246
33.0,68.5,13.4,31.0,12.8,1.34,5.9,620
27.4,76.9,10.3,13.7,5.9,1.1,10.6,224
38.2,115.9,315.8,50.1,5.5,3.01,4.6,755
29.7,77.9,16.2,37.0,11.2,2.52,5.6,430
21.4,62.6,10.8,14.3,3.5,0.93,14.7,391
40.2,91.9,34.2,43.7,17.4,2.07,3.1,900
30.9,98.0,93.2,27.2,10.7,1.73,5.6,472
32.9,74.8,9.6,22.3,9.9,1.71,6.0,339
22.6,74.6,16.0,17.5,4.9,1.6,6.2,718
24.1,63.0,20.8,11.0,7.2,1.03,10.4,265
40.2,107.4,52.1,46.6,15.2,2.29,3.6,627
28.0,69.2,12.6,25.5,6.1,0.73,12.7,408
26.8,72.2,11.3,21.8,12.5,1.41,6.0,602
29.1,77.1,76.5,28.5,8.4,1.71,5.7,591
27.7,75.8,5.2,10.4,4.0,0.93,10.4,505
27.2,66.4,16.3,23.5,4.9,1.08,14.0,428
40.9,78.5,21.6,39.6,25.9,2.8,3.4,641
39.8,84.9,51.8,29.2,15.9,1.92,7.6,559
35.3,106.9,60.3,41.7,16.1,2.54,5.6,857
33.7,85.0,21.5,34.2,9.5,1.1,7.5,687
28.4,42.8,6.7,24.8,9.1,1.05,10.3,599
39.0,80.7,21.3,24.2,10.8,1.65,3.8,448
28.1,78.1,38.6,33.9,7.9,1.35,8.7,465
28.9,91.1,22.6,29.5,6.3,1.21,6.3,351
58.6,66.0,54.0,44.3,22.7,3.09,5.2,641
29.7,82.0,30.1,26.9,11.6,1.39,7.2,424
22.7,64.4,22.5,21.5,8.1,1.06,12.2,389
29.2,51.8,4.6,16.6,6.5,0.89,14.2,291
29.5,85.1,19.6,22.8,14.1,1.38,9.6,692
32.9,97.0,32.7,39.7,12.4,2.24,4.3,640
28.3,56.4,30.3,28.0,0.6,1.48,8.2,331
24.7,43.2,11.2,13.7,1.4,1.01,10.1,552
34.6,52.4,82.4,17.6,9.4,1.43,9.2,343
18.9,43.7,12.7,25.7,5.8,1.78,5.4,432
33.3,80.0,48.2,38.3,3.7,1.61,5.1,507
21.6,63.3,5.6,20.2,5.1,1.09,10.5,589
43.8,103.9,32.6,43.2,25.5,3.36,6.4,722
35.1,78.2,32.1,28.3,3.0,1.98,3.7,597
27.6,73.0,18.7,29.8,19.9,1.62,4.6,705
27.4,67.2,86.5,18.8,9.9,1.29,5.1,354
36.2,80.7,55.6,39.2,13.2,2.13,8.7,829
23.3,58.4,7.3,21.4,4.0,1.08,12.3,438
32.6,71.9,60.0,30.8,6.8,2.0,5.0,388
35.0,57.4,5.1,25.3,16.0,1.42,5.3,441
28.3,72.7,70.2,34.4,10.3,1.75,5.1,486
25.9,59.9,6.1,31.7,13.9,1.47,5.8,388
22.0,76.8,16.3,25.7,6.6,1.03,11.7,449
30.4,101.1,42.6,39.9,4.0,2.2,6.8,639
30.0,58.9,25.9,33.6,12.6,1.28,7.2,347
26.8,54.4,8.9,22.9,1.5,0.96,19.2,588
25.8,51.5,30.5,16.5,7.4,0.9,10.6,520
22.0,65.6,11.6,25.3,7.7,1.64,5.8,430
29.4,68.1,22.0,19.5,15.0,1.4,5.2,361
23.1,43.9,8.1,20.4,5.4,1.06,11.1,564
22.1,53.1,9.8,15.6,5.4,0.86,11.4,385
24.9,38.5,19.5,22.6,5.5,0.88,10.5,369
15.5,64.8,23.4,25.5,4.6,0.91,11.1,230
29.4,85.8,94.2,30.5,10.7,1.35,5.6,366
26.2,44.5,17.9,13.3,0.5,0.76,14.8,296
35.0,92.4,29.0,25.0,17.9,2.16,6.8,718
28.6,65.4,14.7,30.5,9.2,1.56,10.3,322
25.0,49.7,5.4,17.9,5.0,1.15,10.5,447
25.8,52.3,56.7,28.9,6.9,1.2,5.4,535
32.8,60.4,12.8,28.1,5.7,1.36,12.5,406
22.9,52.6,15.3,26.3,4.4,0.99,11.1,517
23.5,76.1,54.8,49.2,26.1,1.56,2.7,782
25.2,51.0,6.8,22.8,7.1,1.17,12.8,500
26.8,58.5,46.5,27.4,8.6,1.59,5.5,466
36.5,81.6,19.4,29.0,20.5,1.92,4.2,690
29.6,53.0,20.6,22.5,5.5,0.99,11.1,509
30.7,81.5,9.7,26.7,12.5,1.53,5.3,473
33.9,78.3,31.2,30.4,19.8,1.73,4.0,411
32.0,57.4,76.9,27.2,16.1,2.4,4.7,422
27.3,79.9,33.8,16.6,6.0,0.91,10.1,365
24.5,45.3,9.0,24.4,3.8,0.9,11.2,527
26.2,79.4,14.5,26.9,7.5,1.02,10.3,322
24.5,63.2,8.7,22.9,5.0,1.07,12.3,561
31.2,49.7,30.6,25.2,15.7,1.59,9.0,347
22.7,68.4,7.7,15.6,7.1,1.05,10.2,409
28.5,45.9,5.9,23.7,3.2,0.89,12.8,483
34.8,68.1,74.2,39.9,11.2,2.26,4.0,537
32.2,81.3,15.4,46.5,20.9,2.03,3.1,705
36.9,106.5,34.7,37.4,24.3,2.3,2.7,726
23.8,73.6,42.2,28.3,5.7,1.07,15.3,555
30.5,76.2,46.5,40.0,9.3,2.4,9.9,624
26.6,60.6,6.5,26.9,8.2,1.07,10.6,318
30.3,88.5,35.8,19.3,6.5,1.37,6.9,737
40.8,80.0,44.3,52.3,19.3,2.06,3.8,530
30.1,54.1,24.6,16.8,8.2,1.02,11.1,201
16.4,40.9,28.3,19.1,4.0,1.15,12.5,459
33.4,70.5,15.2,24.1,8.6,1.49,6.0,417
21.1,80.4,9.6,17.6,4.5,1.0,11.3,333
31.7,54.2,26.0,32.6,11.2,1.76,5.8,514
33.4,80.2,32.4,40.3,12.9,1.36,2.6,597
34.9,86.4,28.0,36.9,9.0,2.08,7.1,728
37.5,38.8,57.3,24.6,17.1,1.58,8.8,377
27.5,55.1,14.9,20.3,5.2,1.38,6.3,629
29.0,84.3,14.7,31.6,11.9,1.53,10.4,475
28.8,54.3,23.2,21.2,6.8,1.1,13.0,213
36.1,100.5,108.5,33.1,14.8,2.09,5.0,769
23.4,65.6,10.0,27.0,6.3,1.03,10.5,322
39.8,84.8,69.5,30.4,14.2,2.44,6.4,555
20.6,65.7,28.4,29.1,14.1,1.45,8.0,683
38.0,78.8,9.0,23.8,0.8,2.54,5.3,755
24.0,55.5,8.6,10.8,4.8,0.89,11.5,456
25.8,40.3,6.6,24.1,8.2,0.99,10.6,438
29.4,44.4,18.8,19.1,6.2,0.99,13.4,304
21.9,71.1,36.2,33.3,9.6,1.67,5.6,594
25.5,68.4,64.4,30.8,0.7,1.81,5.7,671
33.3,51.4,20.7,20.7,16.0,1.48,5.8,542
26.0,38.6,22.7,22.0,2.8,1.22,12.9,389
22.0,56.3,12.5,16.8,6.1,1.01,12.2,230
24.5,59.7,8.4,19.1,4.3,0.85,10.3,432
32.8,53.2,24.5,26.3,11.2,1.61,5.4,363
26.7,70.2,56.7,32.8,5.4,1.42,6.3,592
41.2,79.1,27.6,35.9,6.9,1.66,7.1,359
42.5,108.2,116.8,43.5,21.2,2.07,4.6,741
22.1,58.9,11.3,21.9,4.2,1.03,10.3,324
28.7,96.3,13.6,27.1,13.1,1.35,5.2,409
31.7,72.8,18.7,25.8,6.4,1.53,5.6,549
40.6,93.3,48.7,19.0,14.2,1.85,6.3,464
34.0,84.0,21.9,24.2,6.6,1.29,5.2,379
37.0,96.6,25.2,40.6,14.7,2.11,10.2,673
40.8,93.8,27.2,53.4,23.2,2.72,4.7,688
41.9,90.1,50.7,46.3,18.2,2.38,5.1,531
39.1,82.4,49.8,28.2,11.5,2.03,8.5,818
21.1,59.4,37.8,33.8,11.5,1.32,5.4,496
32.4,81.8,30.3,19.3,13.6,1.68,3.8,588
31.1,89.1,28.2,17.7,10.5,1.71,6.8,680
24.4,77.2,17.7,17.8,6.2,0.94,14.7,330
38.7,71.9,31.0,50.3,15.6,2.81,6.4,503
27.1,57.1,31.6,33.8,7.6,1.91,5.2,452
32.8,56.3,15.8,13.7,4.7,0.97,11.8,286
41.6,100.7,166.2,38.7,24.5,1.96,2.8,888
25.0,81.3,7.8,23.1,6.7,1.14,10.1,329
33.7,66.5,77.4,32.7,6.2,1.24,13.8,461
25.0,67.9,41.8,28.7,3.5,1.59,5.1,477
26.4,77.1,24.8,24.1,12.4,1.46,6.7,576
39.6,72.4,29.3,38.1,21.8,2.31,3.3,790
30.4,56.5,14.5,23.7,6.4,1.24,6.7,410
52.8,83.3,72.1,42.5,33.9,2.46,2.5,561
27.9,76.5,10.1,11.6,4.2,1.12,11.2,267
20.0,61.2,17.2,24.2,2.6,1.08,11.3,209
24.8,67.9,8.2,23.9,1.4,1.08,18.8,207
38.8,115.0,39.3,28.8,25.0,2.97,5.7,900
20.0,74.9,15.3,21.1,6.2,1.04,11.7,242
32.2,70.9,56.7,37.8,16.2,1.54,4.8,388
23.8,51.1,12.7,14.1,4.3,0.94,13.6,425
34.3,70.1,19.9,32.1,14.8,2.04,5.0,551
21.4,46.6,21.9,13.1,7.2,1.22,10.3,253
45.9,84.1,58.3,42.0,25.9,1.94,2.6,951
39.2,70.1,40.3,41.0,11.1,1.91,3.6,511
35.5,111.3,50.8,38.4,11.3,2.09,3.2,497
24.8,44.9,12.5,12.7,3.2,0.96,12.2,405
25.2,43.9,4.9,12.3,4.8,1.08,12.7,471
22.1,56.2,12.7,25.4,4.0,0.93,12.5,389
47.2,78.4,46.0,42.9,21.1,2.36,2.8,517
25.9,87.6,47.1,23.1,6.4,1.46,5.6,490
32.4,76.9,12.3,25.3,10.5,1.66,5.1,397
37.7,107.5,53.0,37.1,25.3,2.58,5.1,543
33.8,88.3,13.1,26.7,5.6,1.44,5.9,654
23.1,70.5,39.4,21.6,4.5,0.85,10.8,283
26.8,65.2,15.8,13.4,7.7,0.81,12.8,282
44.0,100.4,76.2,23.8,18.6,2.12,4.3,535
26.9,45.5,19.5,13.8,6.2,0.91,11.5,239
37.6,94.4,27.3,50.3,6.2,2.47,3.7,889
26.4,76.1,40.9,31.7,15.2,2.09,6.8,472
31.0,59.6,16.8,24.2,13.6,1.38,6.3,443
39.3,63.5,148.8,28.1,16.1,2.05,3.9,714
40.1,58.4,13.4,27.5,10.3,1.91,4.7,616
51.1,70.0,3.8,39.8,20.1,2.65,4.2,684
35.0,82.9,32.6,25.5,7.6,1.5,7.2,344
22.8,61.5,14.2,22.1,2.5,0.98,10.7,489
28.1,89.9,39.6,21.3,15.8,1.72,5.6,697
15.3,48.0,20.7,26.5,3.9,0.94,12.5,263
24.1,72.6,18.3,14.8,4.3,1.15,12.5,317
24.2,58.7,18.8,28.3,6.3,0.84,14.0,243
29.2,83.7,20.6,25.7,11.9,1.46,5.1,698
36.6,109.9,16.4,39.9,13.0,1.57,5.9,690
26.7,64.4,14.9,24.0,3.7,1.07,15.0,544
28.6,42.3,22.5,27.8,13.3,1.35,5.2,648
41.3,82.5,59.3,29.5,8.0,1.61,5.3,479
30.7,64.8,65.6,34.6,19.9,1.91,3.8,391
32.6,79.8,45.2,32.1,5.2,2.61,4.2,731
33.7,49.4,36.7,41.2,16.3,1.85,3.5,568
24.2,51.3,30.8,24.6,7.0,0.97,12.0,506
23.8,70.3,12.7,17.8,11.1,1.42,5.5,606
34.5,62.3,27.6,27.3,7.7,1.58,6.7,474
33.7,63.2,78.3,42.9,4.8,1.43,5.1,505
34.0,58.3,52.4,28.4,5.3,1.49,6.9,499
18.8,46.7,5.5,13.4,7.0,1.01,11.5,484
41.8,72.4,37.6,36.1,12.2,2.11,3.6,617
24.3,62.7,15.4,22.5,10.9,0.92,10.4,437
22.8,66.4,12.7,13.9,4.0,0.87,10.7,579
23.6,80.8,8.3,22.9,4.3,0.97,10.5,509
36.3,83.6,55.0,27.9,10.0,1.17,7.2,512
29.2,46.6,6.6,17.8,7.0,1.04,10.4,579
21.9,74.0,19.4,17.5,4.3,1.07,10.1,483
23.1,77.7,11.8,21.2,4.5,0.9,10.5,385
24.0,70.5,4.1,19.1,7.1,1.03,10.3,584
36.8,71.9,152.2,21.4,17.0,1.74,4.8,473
20.8,68.0,11.4,10.6,7.4,0.95,10.8,316
19.3,41.7,21.3,21.5,7.6,0.85,13.2,255
24.9,54.3,38.0,18.9,9.1,1.45,9.6,437
33.6,46.6,9.1,21.0,5.8,0.92,13.8,204
34.0,62.5,30.6,29.1,9.5,1.8,6.4,346
43.4,66.5,24.6,38.4,10.1,1.77,4.5,450
25.5,77.9,11.4,19.5,9.3,1.09,11.7,254
41.4,82.4,27.3,41.2,9.1,1.91,4.3,471
30.3,58.1,13.5,29.6,6.5,1.54,8.5,524
26.8,63.4,63.6,26.9,9.0,1.39,5.6,324
41.1,86.1,34.3,34.9,17.5,1.88,5.0,716
32.0,89.4,17.4,21.8,15.8,1.34,5.4,325
19.7,62.7,27.5,19.4,3.1,1.18,10.6,396
36.2,84.0,16.3,26.7,5.7,1.75,14.6,640
33.7,82.4,9.9,26.7,15.0,1.51,8.8,407
36.2,87.2,17.5,50.9,31.5,3.04,5.1,937
31.0,63.5,13.4,26.9,15.4,1.56,5.1,446
25.7,58.7,19.2,21.9,6.3,1.03,10.3,301
24.2,61.7,8.8,19.1,5.5,1.21,10.2,406
35.0,72.8,92.2,38.8,19.9,2.27,3.0,623
23.5,50.8,10.7,26.4,4.1,0.8,11.3,383
46.9,76.6,34.6,39.5,20.6,2.75,4.0,667
41.2,86.9,40.8,39.5,-0.2,1.62,5.6,783
27.7,56.7,9.1,29.5,4.9,1.07,17.1,598
24.1,60.7,17.7,22.8,5.3,1.02,12.7,403
24.0,86.1,40.8,17.3,7.3,1.36,9.9,491
23.4,53.5,10.5,17.5,6.3,0.91,15.5,501
26.5,67.6,29.0,40.0,12.3,2.17,4.1,598
27.4,64.6,37.7,22.3,5.6,1.45,6.4,465
28.0,76.0,25.0,28.4,4.2,2.3,4.6,740
23.5,56.5,31.9,17.5,6.2,1.01,11.0,329
38.1,61.3,27.1,21.9,13.0,1.61,5.5,343
23.9,69.1,24.0,21.1,2.1,0.94,10.1,373
29.0,85.7,39.8,25.4,4.5,1.62,5.1,699
30.1,89.5,38.9,45.4,19.1,2.18,4.2,658
49.9,101.3,51.9,47.7,17.8,2.72,3.3,795
32.6,78.7,20.4,30.9,6.4,1.52,5.7,352
26.5,86.3,54.1,56.6,9.6,2.02,4.8,603
32.5,79.2,15.5,24.4,9.0,1.57,5.0,479
38.9,66.5,105.1,36.1,5.9,3.54,3.2,794
29.0,79.7,112.4,33.2,6.9,1.84,14.0,785
29.9,78.9,26.1,17.5,5.3,1.49,6.6,533
28.5,96.2,65.8,33.6,20.5,2.34,4.4,764
27.0,45.2,6.5,24.1,2.7,0.95,11.7,274
30.7,66.4,24.4,23.3,9.5,1.53,9.5,379
24.5,74.0,13.8,19.8,4.5,0.93,13.0,381
23.2,61.9,6.1,26.6,3.9,0.99,11.9,449
23.0,48.9,8.8,20.2,4.5,1.08,11.9,496
45.7,100.1,21.9,31.0,10.0,2.0,4.3,477
28.4,66.1,9.5,18.9,3.6,0.97,11.8,560
34.7,75.4,14.9,30.3,9.3,1.12,5.6,563
38.5,83.8,31.0,28.0,14.3,2.22,7.3,443
22.9,71.3,12.0,11.8,3.5,1.0,13.5,485
26.4,51.5,27.2,21.8,3.7,0.93,13.7,215
32.1,66.6,60.5,35.2,11.2,1.67,7.5,468
38.6,111.4,20.0,36.3,22.5,1.74,7.5,591
31.0,74.1,14.5,20.9,9.9,0.86,14.4,353
36.8,82.8,17.9,33.2,17.0,1.9,4.3,678
37.0,86.3,110.8,41.3,16.2,2.97,2.5,841
25.9,63.5,23.5,29.6,11.2,1.44,6.0,394
38.3,99.0,27.2,24.9,13.9,2.69,3.8,808
24.5,59.8,11.3,25.9,7.5,1.15,17.2,205
22.0,72.9,11.7,21.2,4.0,0.88,25.2,300
25.1,78.5,54.2,37.5,19.8,2.2,3.4,463
36.2,71.8,79.4,16.6,25.8,3.29,4.6,493
30.8,60.9,20.0,36.1,13.7,1.37,5.1,342
34.4,68.6,20.6,28.4,6.4,1.36,7.2,412
35.6,74.6,76.2,43.9,17.4,2.61,3.5,679
33.8,84.6,23.7,27.8,12.0,2.94,3.6,839
33.4,74.2,38.5,24.2,14.5,2.16,6.7,724
19.2,45.1,28.8,26.8,7.5,0.92,11.3,208
28.7,66.8,15.0,17.2,15.1,1.28,5.6,593
21.9,49.8,16.3,24.9,8.5,1.12,12.6,507
40.0,83.4,25.6,45.0,14.5,2.4,4.7,927
27.6,44.8,10.1,19.2,4.9,1.01,10.8,407
24.7,57.2,14.7,20.9,3.9,1.1,10.3,355
45.1,102.9,49.1,38.4,18.7,2.06,4.8,638
30.0,62.2,66.4,25.5,8.1,1.26,6.2,670
37.6,87.7,32.0,30.3,13.1,2.41,7.9,825
36.9,65.3,60.3,42.4,14.9,1.77,3.9,613
25.3,60.8,15.7,16.2,5.0,1.18,15.3,406
23.8,77.4,10.1,13.0,7.9,0.84,10.1,315
22.6,72.2,23.5,17.9,2.0,1.13,11.9,581
33.4,69.8,14.5,38.2,8.4,1.66,12.0,444
29.5,54.6,48.3,30.7,9.5,1.52,5.0,642
26.1,73.1,69.0,30.2,11.2,1.6,5.7,529
27.8,67.4,11.4,13.1,2.3,1.17,13.0,528
37.0,72.5,30.2,25.5,10.9,1.16,5.4,318
18.5,61.3,8.9,21.5,7.2,0.86,10.8,226
23.1,45.4,14.4,20.0,7.8,1.09,10.4,310
41.4,66.1,31.6,28.7,19.4,1.65,5.9,776
28.1,91.6,13.5,37.9,10.0,1.26,7.2,331
23.6,50.2,3.7,12.7,7.4,1.04,14.2,340
24.3,61.4,22.3,13.5,3.7,1.04,10.2,226
37.9,96.9,51.1,31.9,10.6,1.23,7.2,293
27.2,53.8,44.2,18.2,4.6,0.89,13.7,197
38.3,89.3,28.2,29.5,20.9,1.76,4.7,587
38.5,87.4,22.3,37.3,13.7,1.62,7.5,412
26.9,66.8,18.7,30.4,10.5,1.71,10.8,589
39.8,63.6,19.4,25.1,7.4,2.27,4.5,681
19.6,65.5,39.8,30.4,11.9,1.47,6.1,629
25.8,77.8,9.3,19.5,6.3,1.27,13.3,343
21.7,76.5,8.4,22.5,5.0,0.98,14.8,340
29.2,54.5,18.0,12.2,6.4,1.15,13.2,498
25.2,77.3,4.3,12.2,1.8,0.87,10.2,547
43.7,86.8,16.5,38.7,15.3,1.92,8.3,351
23.6,53.8,10.4,16.9,4.1,1.07,10.2,434
29.6,53.8,18.5,25.5,4.8,1.53,5.8,436
46.8,77.8,45.5,38.9,19.4,2.66,4.4,830
41.3,85.7,93.4,40.0,16.4,1.29,3.5,424
32.6,64.2,51.6,30.2,15.1,1.54,5.7,355
41.1,68.2,22.6,32.7,13.6,1.86,5.4,453
40.9,69.5,53.4,39.3,14.0,1.69,5.5,465
39.4,71.0,10.8,24.7,16.2,1.25,5.0,441
43.9,89.5,31.0,36.7,17.2,1.89,3.3,639
37.4,77.5,21.9,28.2,6.5,1.09,5.8,642
21.6,54.7,12.6,10.3,2.2,0.99,12.0,266
50.7,104.9,9.5,41.7,21.5,2.34,4.3,861
30.3,49.2,61.1,28.2,6.6,1.39,8.4,425
24.4,44.8,7.4,23.7,4.0,0.91,11.9,241
36.5,86.5,32.8,33.3,12.4,2.14,4.0,623
27.6,78.0,29.8,35.6,15.0,1.45,6.2,387
30.6,41.9,11.5,17.0,6.5,1.12,11.3,486
26.4,46.2,27.0,23.0,2.2,1.07,16.8,254
31.8,71.4,32.0,18.7,13.9,1.3,5.5,483
29.5,61.5,11.0,20.5,7.6,0.87,12.2,378
35.6,70.9,44.0,43.3,12.5,1.71,5.0,484
27.5,65.9,31.5,24.6,7.2,1.74,5.4,609
35.3,55.2,8.9,34.3,7.4,1.72,5.7,606
26.5,79.2,58.8,22.3,12.0,1.54,5.2,344
22.7,69.7,24.8,32.8,14.1,1.45,5.2,607
23.0,52.4,7.1,26.6,3.2,1.08,10.2,324
24.9,70.5,5.9,12.5,6.9,1.07,11.9,240
22.4,77.8,22.0,14.3,2.7,0.83,11.9,410
23.6,50.5,25.4,21.6,5.0,0.96,10.5,294
30.4,103.6,40.4,24.1,-6.2,2.21,7.3,521
37.6,94.5,42.8,37.0,19.1,2.13,3.0,602
29.5,60.8,25.0,28.5,5.9,1.58,12.1,386
32.8,73.6,39.5,21.4,12.2,2.21,4.4,590
31.7,67.7,11.0,26.8,7.0,1.18,10.4,530
35.2,96.2,15.5,33.6,9.7,2.34,3.6,515
30.6,72.7,8.5,26.0,12.3,1.1,6.1,493
29.5,53.5,22.2,26.8,10.0,1.49,8.0,438
25.2,61.7,33.6,12.7,5.5,1.08,11.9,300
27.4,77.3,21.1,16.4,15.8,1.81,8.0,406
33.5,58.9,29.4,49.8,16.7,2.02,3.1,678
33.7,57.2,33.5,27.5,15.6,1.74,5.3,531
31.8,86.3,14.8,38.6,17.7,2.07,3.7,551
51.3,58.0,48.3,34.3,11.5,3.32,2.6,538
35.5,55.7,52.6,37.1,8.7,1.17,9.2,546
17.6,72.9,14.9,26.3,6.4,0.87,14.8,201
24.7,46.6,28.7,14.5,5.4,1.18,11.2,463
30.3,77.1,11.7,32.0,16.4,1.99,9.9,618
27.7,99.4,29.9,37.5,9.9,1.74,5.4,588
36.0,97.3,20.8,28.5,20.7,1.87,3.9,795
28.0,57.2,7.0,23.7,7.9,0.92,10.7,419
57.2,80.2,56.9,43.2,24.8,2.26,3.0,876
21.4,67.9,13.7,16.1,5.8,1.02,12.7,241
32.4,56.0,15.6,28.8,6.5,1.49,7.6,506
27.8,70.8,20.7,30.8,17.7,2.02,3.5,502
26.4,56.9,8.9,10.7,6.3,0.99,10.2,276
23.7,62.5,8.4,20.1,2.5,0.94,10.3,314
26.8,81.2,5.7,20.3,6.6,0.93,11.0,409
27.5,55.4,47.0,22.1,12.7,1.66,5.2,298
28.8,76.6,34.6,27.9,6.5,1.44,5.4,405
28.1,47.9,6.7,26.0,8.3,1.03,11.1,228
31.7,51.8,45.9,21.7,7.4,1.08,6.9,460
28.9,67.0,5.9,18.9,5.9,1.08,11.4,416
25.4,42.8,11.8,23.2,7.3,0.99,11.7,504
